# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.hits,1743850981671000000,1743851035404000000,7
DirectByteBufferAllocator.misses,1743850981671000000,1743851035404000000,276
FilePageCacheLockFree.totalHeapBytesAllocated,1743850981671000000,1743851035404000000,0
FilePageCache.maxRegisteredFiles,1743850981671000000,1743851035404000000,536
FilePageCacheLockFree.totalPagesReclaimed,1743850981671000000,1743851035404000000,2
FilePageCacheLockFree.totalBytesRequested,1743850981671000000,1743851035404000000,1531904
FilePageCacheLockFree.heapBytesInUse,1743850981671000000,1743851035404000000,0
StorageLockContext.competingThreads.max,1743850981671000000,1743851035404000000,15
FilePageCacheLockFree.totalPagesReadMs,1743850981671000000,1743851035404000000,4
FilePageCacheLockFree.totalClosedStoragesReclaimed,1743850981671000000,1743851035404000000,2
FilePageCacheLockFree.totalBytesWritten,1743850981671000000,1743851035404000000,6072
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1743850981671000000,1743851035404000000,41975808
FilePageCache.disposedBuffers,1743850981671000000,1743851035404000000,281
FilePageCache.maxCacheSizeInBytes,1743850981671000000,1743851035404000000,285229056
FilePageCacheLockFree.totalPagesWriteMs,1743850981671000000,1743851035404000000,1
DirectByteBufferAllocator.disposed,1743850981671000000,1743851035404000000,232
StorageLockContext.competingThreads.avg,1743850981671000000,1743851035404000000,0.22857142857142856
FilePageCacheLockFree.totalNativeBytesAllocated,1743850981671000000,1743851035404000000,16384
FilePageCacheLockFree.housekeeperTurnsDone,1743850981671000000,1743851035404000000,109
DirectByteBufferAllocator.reclaimed,1743850981671000000,1743851035404000000,51
FilePageCache.uncachedFileAccess,1743850981671000000,1743851035404000000,662
FilePageCacheLockFree.totalNativeBytesReclaimed,1743850981671000000,1743851035404000000,16384
FilePageCacheLockFree.totalPagesWritten,1743850981671000000,1743851035404000000,6
FilePageCache.totalPageDisposalsUs,1743850981671000000,1743851035404000000,1282
FilePageCacheLockFree.housekeeperTurnsSkipped,1743850981671000000,1743851035404000000,34529
FilePageCacheLockFree.totalPagesRequestsMs,1743850981671000000,1743851035404000000,13
FilePageCache.pageHits,1743850981671000000,1743851035404000000,0
FilePageCacheLockFree.nativeBytesInUse,1743850981671000000,1743851035404000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1743850981671000000,1743851035404000000,0
FilePageCacheLockFree.totalPagesAllocated,1743850981671000000,1743851035404000000,2
FilePageCache.totalPageLoadsUs,1743850981671000000,1743851035404000000,726824
FilePageCacheLockFree.totalPagesHandedOver,1743850981671000000,1743851035404000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1743850981671000000,1743851035404000000,0
FilePageCache.pageFastCacheHits,1743850981671000000,1743851035404000000,347186
FileChannelInterruptsRetryer.totalRetriedAttempts,1743850981671000000,1743851035404000000,0
FilePageCacheLockFree.totalPagesRequested,1743850981671000000,1743851035404000000,187
FilePageCacheLockFree.housekeeperTimeSpentMs,1743850981671000000,1743851035404000000,175
FilePageCache.capacityInBytes,1743850981671000000,1743851035404000000,503316478
