# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionTimeUs,1743853917841000000,1743853955144000000,4079712
NonBlockingReadAction.failedExecutionTimeUs,1743853917841000000,1743853955144000000,401175624
NonBlockingReadAction.finalizedExecutionsCount,1743853917841000000,1743853955144000000,62
NonBlockingReadAction.failedExecutionsCount,1743853917841000000,1743853955144000000,69
AWTEventQueue.dispatchTimeTotalNS,1743853917841000000,1743853955144000000,10279978748
workspaceModel.init.bridges.ms,1743853917841000000,1743853955144000000,1
workspaceModel.check.recursive.update.ms,1743853917841000000,1743853955144000000,1
workspaceModel.to.snapshot.ms,1743853917841000000,1743853955144000000,2
workspaceModel.collect.changes.ms,1743853917841000000,1743853955144000000,0
workspaceModel.updates.precise.ms,1743853917841000000,1743853955144000000,31
workspaceModel.loading.total.ms,1743853917841000000,1743853955144000000,475
workspaceModel.replace.project.model.ms,1743853917841000000,1743853955144000000,0
workspaceModel.update.unloaded.entities.ms,1743853917841000000,1743853955144000000,0
workspaceModel.initializing.ms,1743853917841000000,1743853955144000000,1
workspaceModel.loading.from.cache.ms,1743853917841000000,1743853955144000000,433
workspaceModel.updates.ms,1743853917841000000,1743853955144000000,78
workspaceModel.updates.count,1743853917841000000,1743853955144000000,4
workspaceModel.pre.handlers.ms,1743853917841000000,1743853955144000000,1
Indexes.stubs.lookupDurationMaxMs,1743853917841000000,1743853955144000000,0.0
Indexes.entries.lookupDuration90PMs,1743853917841000000,1743853955144000000,81.0
Indexes.allKeys.lookupDuration90PMs,1743853917841000000,1743853955144000000,1.0
Indexes.stubs.lookupDurationAvgMs,1743853917841000000,1743853955144000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1743853917841000000,1743853955144000000,0.5
Indexes.stubs.lookupDuration90PMs,1743853917841000000,1743853955144000000,0.0
Indexes.entries.lookupDurationMaxMs,1743853917841000000,1743853955144000000,81.0
Indexes.stubs.lookups,1743853917841000000,1743853955144000000,0.0
Indexes.allKeys.lookups,1743853917841000000,1743853955144000000,2.0
Indexes.allKeys.lookupDurationMaxMs,1743853917841000000,1743853955144000000,1.0
Indexes.entries.lookupDurationAvgMs,1743853917841000000,1743853955144000000,81.0
Indexes.entries.lookups,1743853917841000000,1743853955144000000,1.0
FilePageCacheLockFree.housekeeperTurnsDone,1743853917841000000,1743853955144000000,76
FilePageCacheLockFree.totalHeapBytesReclaimed,1743853917841000000,1743853955144000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1743853917841000000,1743853955144000000,7
FilePageCacheLockFree.totalBytesRequested,1743853917841000000,1743853955144000000,450560
FilePageCacheLockFree.totalBytesWritten,1743853917841000000,1743853955144000000,4219
FilePageCacheLockFree.housekeeperTimeSpentMs,1743853917841000000,1743853955144000000,219
FilePageCache.disposedBuffers,1743853917841000000,1743853955144000000,213
FilePageCache.pageLoads,1743853917841000000,1743853955144000000,213
FilePageCacheLockFree.housekeeperTurnsSkipped,1743853917841000000,1743853955144000000,22948
DirectByteBufferAllocator.disposed,1743853917841000000,1743853955144000000,168
FilePageCacheLockFree.totalPagesReclaimed,1743853917841000000,1743853955144000000,3
FilePageCache.pageLoadsAboveSizeThreshold,1743853917841000000,1743853955144000000,0
FilePageCache.capacityInBytes,1743853917841000000,1743853955144000000,503316478
FilePageCacheLockFree.totalHeapBytesAllocated,1743853917841000000,1743853955144000000,0
StorageLockContext.competingThreads.avg,1743853917841000000,1743853955144000000,0.2054794520547945
FilePageCacheLockFree.totalBytesRead,1743853917841000000,1743853955144000000,9654
FilePageCacheLockFree.totalPagesWriteMs,1743853917841000000,1743853955144000000,0
FilePageCache.pageFastCacheHits,1743853917841000000,1743853955144000000,5668
DirectByteBufferAllocator.hits,1743853917841000000,1743853955144000000,3
DirectByteBufferAllocator.reclaimed,1743853917841000000,1743853955144000000,48
FilePageCacheLockFree.totalNativeBytesReclaimed,1743853917841000000,1743853955144000000,24576
StorageLockContext.competingThreads.90P,1743853917841000000,1743853955144000000,0
FilePageCache.maxRegisteredFiles,1743853917841000000,1743853955144000000,536
FilePageCache.totalPageDisposalsUs,1743853917841000000,1743853955144000000,1069
FilePageCacheLockFree.totalPagesWritten,1743853917841000000,1743853955144000000,4
FilePageCacheLockFree.nativeBytesInUse,1743853917841000000,1743853955144000000,0
DirectByteBufferAllocator.misses,1743853917841000000,1743853955144000000,213
FilePageCacheLockFree.totalClosedStoragesReclaimed,1743853917841000000,1743853955144000000,2
FilePageCacheLockFree.totalPagesRequested,1743853917841000000,1743853955144000000,55
FilePageCacheLockFree.totalNativeBytesAllocated,1743853917841000000,1743853955144000000,24576
FilePageCache.maxCacheSizeInBytes,1743853917841000000,1743853955144000000,218120192
FilePageCache.uncachedFileAccess,1743853917841000000,1743853955144000000,126
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1743853917841000000,1743853955144000000,41984000
FilePageCacheLockFree.totalPagesHandedOver,1743853917841000000,1743853955144000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1743853917841000000,1743853955144000000,0
FilePageCache.totalPageLoadsUs,1743853917841000000,1743853955144000000,193271
FilePageCacheLockFree.totalPagesAllocated,1743853917841000000,1743853955144000000,3
StorageLockContext.competingThreads.max,1743853917841000000,1743853955144000000,14
FileChannelInterruptsRetryer.totalRetriedAttempts,1743853917841000000,1743853955144000000,0
FilePageCacheLockFree.heapBytesInUse,1743853917841000000,1743853955144000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1743853917841000000,1743853955144000000,41984000
FilePageCacheLockFree.totalPagesReadMs,1743853917841000000,1743853955144000000,3
FilePageCache.pageHits,1743853917841000000,1743853955144000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1743853917841000000,1743853955144000000,119
workspaceModel.moduleManagerBridge.get.modules.ms,1743853917841000000,1743853955144000000,2
jps.module.iml.entities.serializer.load.entities.ms,1743853917841000000,1743853955144000000,26
jps.app.storage.content.reader.load.component.ms,1743853917841000000,1743853955144000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1743853917841000000,1743853955144000000,2
jps.facet.change.listener.process.change.events.ms,1743853917841000000,1743853955144000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1743853917841000000,1743853955144000000,73
jps.reload.project.entities.ms,1743853917841000000,1743853955144000000,0
jps.project.serializers.save.ms,1743853917841000000,1743853955144000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1743853917841000000,1743853955144000000,2
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1743853917841000000,1743853955144000000,0
workspaceModel.moduleBridge.before.changed.ms,1743853917841000000,1743853955144000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1743853917841000000,1743853955144000000,0
jps.apply.loaded.storage.ms,1743853917841000000,1743853955144000000,31
workspaceModel.sync.entities.ms,1743853917841000000,1743853955144000000,0
jps.global.handle.changed.events.ms,1743853917841000000,1743853955144000000,0
jps.global.get.library.ms,1743853917841000000,1743853955144000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743853917841000000,1743853955144000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1743853917841000000,1743853955144000000,0
jps.module.iml.entities.serializer.save.entities.ms,1743853917841000000,1743853955144000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1743853917841000000,1743853955144000000,0
jps.app.storage.content.writer.save.component.ms,1743853917841000000,1743853955144000000,0
workspaceModel.load.cache.from.file.ms,1743853917841000000,1743853955144000000,422
jps.global.get.libraries.ms,1743853917841000000,1743853955144000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1743853917841000000,1743853955144000000,0
jps.facet.change.listener.before.change.events.ms,1743853917841000000,1743853955144000000,0
workspaceModel.mutableEntityStorage.entities.ms,1743853917841000000,1743853955144000000,1
jps.load.project.to.empty.storage.ms,1743853917841000000,1743853955144000000,84
workspaceModel.moduleManagerBridge.newModule.ms,1743853917841000000,1743853955144000000,0
jps.artifact.entities.serializer.save.entities.ms,1743853917841000000,1743853955144000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743853917841000000,1743853955144000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1743853917841000000,1743853955144000000,19
jps.storage.jps.conf.reader.load.component.ms,1743853917841000000,1743853955144000000,9
workspaceModel.orphan.listener.update.ms,1743853917841000000,1743853955144000000,4
jps.library.entities.serializer.save.entities.ms,1743853917841000000,1743853955144000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1743853917841000000,1743853955144000000,0
jps.library.entities.serializer.load.entities.ms,1743853917841000000,1743853955144000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1743853917841000000,1743853955144000000,36
