# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionTimeUs,1743854879672000000,1743854884681000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1743854879672000000,1743854884681000000,2082
NonBlockingReadAction.failedExecutionsCount,1743854879672000000,1743854884681000000,0
AWTEventQueue.dispatchTimeTotalNS,1743854879672000000,1743854884681000000,2958161800
NonBlockingReadAction.finalizedExecutionsCount,1743854879672000000,1743854884681000000,7
jps.global.get.library.ms,1743854879672000000,1743854884681000000,0
jps.project.serializers.save.ms,1743854879672000000,1743854884681000000,0
jps.load.initial.state.ms,1743854879672000000,1743854884681000000,7
jps.load.project.to.empty.storage.ms,1743854879672000000,1743854884681000000,0
jps.module.iml.entities.serializer.load.entities.ms,1743854879672000000,1743854884681000000,0
jps.save.changed.project.entities.ms,1743854879672000000,1743854884681000000,1
jps.artifact.entities.serializer.load.entities.ms,1743854879672000000,1743854884681000000,0
jps.global.initialize.library.bridges.ms,1743854879672000000,1743854884681000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743854879672000000,1743854884681000000,0
workspaceModel.load.cache.metadata.from.file.ms,1743854879672000000,1743854884681000000,76
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743854879672000000,1743854884681000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1743854879672000000,1743854884681000000,0
jps.library.entities.serializer.load.entities.ms,1743854879672000000,1743854884681000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1743854879672000000,1743854884681000000,0
jps.app.storage.content.reader.load.component.ms,1743854879672000000,1743854884681000000,0
jps.storage.jps.conf.reader.load.component.ms,1743854879672000000,1743854884681000000,6
workspaceModel.moduleBridge.before.changed.ms,1743854879672000000,1743854884681000000,0
jps.app.storage.content.writer.save.component.ms,1743854879672000000,1743854884681000000,0
jps.facet.change.listener.init.bridge.ms,1743854879672000000,1743854884681000000,0
workspaceModel.save.cache.to.file.ms,1743854879672000000,1743854884681000000,46
workspaceModel.load.cache.from.file.ms,1743854879672000000,1743854884681000000,512
workspaceModel.orphan.listener.update.ms,1743854879672000000,1743854884681000000,4
workspaceModel.global.apply.state.to.project.ms,1743854879672000000,1743854884681000000,59
jps.global.get.library.by.name.ms,1743854879672000000,1743854884681000000,0
jps.global.handle.changed.events.ms,1743854879672000000,1743854884681000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1743854879672000000,1743854884681000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1743854879672000000,1743854884681000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1743854879672000000,1743854884681000000,2
jps.global.get.libraries.ms,1743854879672000000,1743854884681000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1743854879672000000,1743854884681000000,0
workspaceModel.moduleBridge.update.option.ms,1743854879672000000,1743854884681000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1743854879672000000,1743854884681000000,0
jps.facet.change.listener.before.change.events.ms,1743854879672000000,1743854884681000000,0
workspaceModel.mutableEntityStorage.entities.ms,1743854879672000000,1743854884681000000,0
workspaceModel.global.updates.ms,1743854879672000000,1743854884681000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1743854879672000000,1743854884681000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1743854879672000000,1743854884681000000,0
jps.project.serializers.load.ms,1743854879672000000,1743854884681000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1743854879672000000,1743854884681000000,1
workspaceModel.sync.entities.ms,1743854879672000000,1743854884681000000,0
jps.reload.project.entities.ms,1743854879672000000,1743854884681000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1743854879672000000,1743854884681000000,0
workspaceModel.global.updates.count,1743854879672000000,1743854884681000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1743854879672000000,1743854884681000000,0
