# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.updates.precise.ms,1743854844993000000,1743854868410000000,33
workspaceModel.loading.total.ms,1743854844993000000,1743854868410000000,576
workspaceModel.updates.ms,1743854844993000000,1743854868410000000,76
workspaceModel.init.bridges.ms,1743854844993000000,1743854868410000000,2
workspaceModel.updates.count,1743854844993000000,1743854868410000000,4
workspaceModel.update.unloaded.entities.ms,1743854844993000000,1743854868410000000,0
workspaceModel.initializing.ms,1743854844993000000,1743854868410000000,2
workspaceModel.loading.from.cache.ms,1743854844993000000,1743854868410000000,537
workspaceModel.to.snapshot.ms,1743854844993000000,1743854868410000000,1
workspaceModel.pre.handlers.ms,1743854844993000000,1743854868410000000,0
workspaceModel.replace.project.model.ms,1743854844993000000,1743854868410000000,0
workspaceModel.collect.changes.ms,1743854844993000000,1743854868410000000,0
workspaceModel.check.recursive.update.ms,1743854844993000000,1743854868410000000,0
jps.app.storage.content.writer.save.component.ms,1743854844993000000,1743854868410000000,0
jps.artifact.entities.serializer.load.entities.ms,1743854844993000000,1743854868410000000,0
jps.facet.change.listener.before.change.events.ms,1743854844993000000,1743854868410000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1743854844993000000,1743854868410000000,23
jps.project.serializers.save.ms,1743854844993000000,1743854868410000000,3
workspaceModel.load.cache.from.file.ms,1743854844993000000,1743854868410000000,525
jps.library.entities.serializer.load.entities.ms,1743854844993000000,1743854868410000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743854844993000000,1743854868410000000,1
workspaceModel.moduleBridge.before.changed.ms,1743854844993000000,1743854868410000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1743854844993000000,1743854868410000000,0
workspaceModel.load.cache.metadata.from.file.ms,1743854844993000000,1743854868410000000,64
workspaceModel.global.updates.ms,1743854844993000000,1743854868410000000,0
jps.artifact.entities.serializer.save.entities.ms,1743854844993000000,1743854868410000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1743854844993000000,1743854868410000000,2
workspaceModel.moduleBridgeLoader.loading.modules.ms,1743854844993000000,1743854868410000000,615
jps.save.global.entities.ms,1743854844993000000,1743854868410000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1743854844993000000,1743854868410000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1743854844993000000,1743854868410000000,20
workspaceModel.moduleManagerBridge.build.module.graph.ms,1743854844993000000,1743854868410000000,0
workspaceModel.global.updates.count,1743854844993000000,1743854868410000000,0
jps.storage.jps.conf.reader.load.component.ms,1743854844993000000,1743854868410000000,23
jps.global.get.library.by.name.ms,1743854844993000000,1743854868410000000,0
jps.app.storage.content.reader.load.component.ms,1743854844993000000,1743854868410000000,1
workspaceModel.sync.entities.ms,1743854844993000000,1743854868410000000,0
workspaceModel.moduleBridge.update.option.ms,1743854844993000000,1743854868410000000,0
jps.save.changed.project.entities.ms,1743854844993000000,1743854868410000000,3
workspaceModel.mutableEntityStorage.put.entity.ms,1743854844993000000,1743854868410000000,13
jps.global.handle.before.change.events.ms,1743854844993000000,1743854868410000000,0
jps.global.get.libraries.ms,1743854844993000000,1743854868410000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1743854844993000000,1743854868410000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1743854844993000000,1743854868410000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1743854844993000000,1743854868410000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1743854844993000000,1743854868410000000,122
workspaceModel.orphan.listener.update.ms,1743854844993000000,1743854868410000000,2
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743854844993000000,1743854868410000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1743854844993000000,1743854868410000000,0
workspaceModel.save.cache.to.file.ms,1743854844993000000,1743854868410000000,243
jps.global.get.library.ms,1743854844993000000,1743854868410000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1743854844993000000,1743854868410000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1743854844993000000,1743854868410000000,0
jps.load.initial.state.ms,1743854844993000000,1743854868410000000,5
jps.library.entities.serializer.save.entities.ms,1743854844993000000,1743854868410000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1743854844993000000,1743854868410000000,24
workspaceModel.mutableEntityStorage.remove.entity.ms,1743854844993000000,1743854868410000000,2
jps.module.iml.entities.serializer.load.entities.ms,1743854844993000000,1743854868410000000,31
workspaceModel.mutableEntityStorage.entities.ms,1743854844993000000,1743854868410000000,1
jps.reload.project.entities.ms,1743854844993000000,1743854868410000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1743854844993000000,1743854868410000000,0
jps.facet.change.listener.process.change.events.ms,1743854844993000000,1743854868410000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1743854844993000000,1743854868410000000,51
jps.global.initialize.library.bridges.ms,1743854844993000000,1743854868410000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1743854844993000000,1743854868410000000,2
jps.load.project.to.empty.storage.ms,1743854844993000000,1743854868410000000,90
workspaceModel.global.apply.state.to.project.ms,1743854844993000000,1743854868410000000,35
jps.project.serializers.load.ms,1743854844993000000,1743854868410000000,82
workspaceModel.global.apply.state.to.project.builder.ms,1743854844993000000,1743854868410000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1743854844993000000,1743854868410000000,11
jps.apply.loaded.storage.ms,1743854844993000000,1743854868410000000,27
workspaceModel.mutableEntityStorage.resolve.ms,1743854844993000000,1743854868410000000,0
jps.module.iml.entities.serializer.save.entities.ms,1743854844993000000,1743854868410000000,0
jps.facet.change.listener.init.bridge.ms,1743854844993000000,1743854868410000000,0
jps.global.initialize.library.bridges.after.loading.ms,1743854844993000000,1743854868410000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1743854844993000000,1743854868410000000,0
jps.global.handle.changed.events.ms,1743854844993000000,1743854868410000000,0
