# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1743854148278000000,1743854165392000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1743854148278000000,1743854165392000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1743854148278000000,1743854165392000000,3
workspaceModel.load.cache.from.file.ms,1743854148278000000,1743854165392000000,441
workspaceModel.global.apply.state.to.project.ms,1743854148278000000,1743854165392000000,30
jps.project.serializers.load.ms,1743854148278000000,1743854165392000000,72
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1743854148278000000,1743854165392000000,1
jps.global.handle.changed.events.ms,1743854148278000000,1743854165392000000,0
jps.global.get.library.by.name.ms,1743854148278000000,1743854165392000000,0
workspaceModel.global.updates.count,1743854148278000000,1743854165392000000,0
jps.app.storage.content.reader.load.component.ms,1743854148278000000,1743854165392000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1743854148278000000,1743854165392000000,23
workspaceModel.save.cache.to.file.ms,1743854148278000000,1743854165392000000,75
workspaceModel.mutableEntityStorage.collect.changes.ms,1743854148278000000,1743854165392000000,0
jps.facet.change.listener.init.bridge.ms,1743854148278000000,1743854165392000000,0
jps.module.iml.entities.serializer.load.entities.ms,1743854148278000000,1743854165392000000,27
workspaceModel.moduleManagerBridge.load.module.ms,1743854148278000000,1743854165392000000,0
jps.facet.change.listener.process.change.events.ms,1743854148278000000,1743854165392000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743854148278000000,1743854165392000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1743854148278000000,1743854165392000000,17
jps.facet.change.listener.before.change.events.ms,1743854148278000000,1743854165392000000,1
jps.apply.loaded.storage.ms,1743854148278000000,1743854165392000000,30
workspaceModel.moduleBridgeLoader.loading.modules.ms,1743854148278000000,1743854165392000000,728
jps.library.entities.serializer.load.entities.ms,1743854148278000000,1743854165392000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1743854148278000000,1743854165392000000,16
jps.global.get.library.ms,1743854148278000000,1743854165392000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1743854148278000000,1743854165392000000,4
jps.load.project.to.empty.storage.ms,1743854148278000000,1743854165392000000,80
jps.app.storage.content.writer.save.component.ms,1743854148278000000,1743854165392000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1743854148278000000,1743854165392000000,0
jps.global.initialize.library.bridges.ms,1743854148278000000,1743854165392000000,0
jps.global.get.libraries.ms,1743854148278000000,1743854165392000000,0
workspaceModel.mutableEntityStorage.entities.ms,1743854148278000000,1743854165392000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1743854148278000000,1743854165392000000,54
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1743854148278000000,1743854165392000000,0
workspaceModel.orphan.listener.update.ms,1743854148278000000,1743854165392000000,3
workspaceModel.global.updates.ms,1743854148278000000,1743854165392000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1743854148278000000,1743854165392000000,4
jps.global.handle.before.change.events.ms,1743854148278000000,1743854165392000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743854148278000000,1743854165392000000,1
jps.library.entities.serializer.save.entities.ms,1743854148278000000,1743854165392000000,0
workspaceModel.moduleBridge.before.changed.ms,1743854148278000000,1743854165392000000,0
jps.global.initialize.library.bridges.after.loading.ms,1743854148278000000,1743854165392000000,0
jps.project.serializers.save.ms,1743854148278000000,1743854165392000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1743854148278000000,1743854165392000000,24
workspaceModel.mutableEntityStorage.modify.entity.ms,1743854148278000000,1743854165392000000,9
workspaceModel.moduleManagerBridge.create.module.instance.ms,1743854148278000000,1743854165392000000,0
jps.reload.project.entities.ms,1743854148278000000,1743854165392000000,0
workspaceModel.sync.entities.ms,1743854148278000000,1743854165392000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1743854148278000000,1743854165392000000,0
workspaceModel.moduleBridge.update.option.ms,1743854148278000000,1743854165392000000,0
jps.save.global.entities.ms,1743854148278000000,1743854165392000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1743854148278000000,1743854165392000000,1
jps.storage.jps.conf.reader.load.component.ms,1743854148278000000,1743854165392000000,10
jps.artifact.entities.serializer.load.entities.ms,1743854148278000000,1743854165392000000,0
jps.save.changed.project.entities.ms,1743854148278000000,1743854165392000000,1
workspaceModel.moduleBridge.facet.initialization.ms,1743854148278000000,1743854165392000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1743854148278000000,1743854165392000000,0
jps.artifact.entities.serializer.save.entities.ms,1743854148278000000,1743854165392000000,0
workspaceModel.load.cache.metadata.from.file.ms,1743854148278000000,1743854165392000000,44
jps.load.initial.state.ms,1743854148278000000,1743854165392000000,7
jps.module.iml.entities.serializer.save.entities.ms,1743854148278000000,1743854165392000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1743854148278000000,1743854165392000000,115
workspaceModel.moduleManagerBridge.newModule.ms,1743854148278000000,1743854165392000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1743854148278000000,1743854165392000000,1478431
NonBlockingReadAction.failedExecutionsCount,1743854148278000000,1743854165392000000,63
NonBlockingReadAction.finalizedExecutionsCount,1743854148278000000,1743854165392000000,74
AWTEventQueue.dispatchTimeTotalNS,1743854148278000000,1743854165392000000,7255749300
NonBlockingReadAction.failedExecutionTimeUs,1743854148278000000,1743854165392000000,143617577
Indexes.stubs.lookupDuration90PMs,1743854148278000000,1743854165392000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1743854148278000000,1743854165392000000,0.0
Indexes.entries.lookupDurationMaxMs,1743854148278000000,1743854165392000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1743854148278000000,1743854165392000000,0.0
Indexes.allKeys.lookups,1743854148278000000,1743854165392000000,0.0
Indexes.allKeys.lookupDuration90PMs,1743854148278000000,1743854165392000000,0.0
Indexes.entries.lookupDuration90PMs,1743854148278000000,1743854165392000000,0.0
Indexes.entries.lookups,1743854148278000000,1743854165392000000,0.0
Indexes.stubs.lookups,1743854148278000000,1743854165392000000,0.0
Indexes.entries.lookupDurationAvgMs,1743854148278000000,1743854165392000000,0.0
Indexes.stubs.lookupDurationMaxMs,1743854148278000000,1743854165392000000,0.0
Indexes.stubs.lookupDurationAvgMs,1743854148278000000,1743854165392000000,0.0
workspaceModel.loading.from.cache.ms,1743854148278000000,1743854165392000000,453
workspaceModel.initializing.ms,1743854148278000000,1743854165392000000,1
