# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.updates.count,1743854180697000000,1743854191794000000,2
workspaceModel.to.snapshot.ms,1743854180697000000,1743854191794000000,0
workspaceModel.initializing.ms,1743854180697000000,1743854191794000000,1
workspaceModel.check.recursive.update.ms,1743854180697000000,1743854191794000000,0
workspaceModel.replace.project.model.ms,1743854180697000000,1743854191794000000,0
workspaceModel.update.unloaded.entities.ms,1743854180697000000,1743854191794000000,0
workspaceModel.updates.ms,1743854180697000000,1743854191794000000,71
workspaceModel.collect.changes.ms,1743854180697000000,1743854191794000000,0
workspaceModel.updates.precise.ms,1743854180697000000,1743854191794000000,12
workspaceModel.loading.total.ms,1743854180697000000,1743854191794000000,565
workspaceModel.loading.from.cache.ms,1743854180697000000,1743854191794000000,519
workspaceModel.pre.handlers.ms,1743854180697000000,1743854191794000000,1
workspaceModel.init.bridges.ms,1743854180697000000,1743854191794000000,1
workspaceModel.global.updates.ms,1743854180697000000,1743854191794000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1743854180697000000,1743854191794000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1743854180697000000,1743854191794000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743854180697000000,1743854191794000000,0
workspaceModel.load.cache.metadata.from.file.ms,1743854180697000000,1743854191794000000,69
workspaceModel.mutableEntityStorage.to.snapshot.ms,1743854180697000000,1743854191794000000,2
workspaceModel.global.apply.state.to.project.builder.ms,1743854180697000000,1743854191794000000,1
jps.load.project.to.empty.storage.ms,1743854180697000000,1743854191794000000,71
jps.facet.change.listener.before.change.events.ms,1743854180697000000,1743854191794000000,1
workspaceModel.mutableEntityStorage.add.diff.ms,1743854180697000000,1743854191794000000,11
workspaceModel.mutableEntityStorage.entities.ms,1743854180697000000,1743854191794000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743854180697000000,1743854191794000000,0
jps.global.initialize.library.bridges.after.loading.ms,1743854180697000000,1743854191794000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1743854180697000000,1743854191794000000,2
workspaceModel.save.cache.to.file.ms,1743854180697000000,1743854191794000000,72
workspaceModel.mutableEntityStorage.collect.changes.ms,1743854180697000000,1743854191794000000,0
workspaceModel.sync.entities.ms,1743854180697000000,1743854191794000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1743854180697000000,1743854191794000000,0
jps.save.changed.project.entities.ms,1743854180697000000,1743854191794000000,1
jps.global.initialize.library.bridges.ms,1743854180697000000,1743854191794000000,0
jps.global.get.libraries.ms,1743854180697000000,1743854191794000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1743854180697000000,1743854191794000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1743854180697000000,1743854191794000000,0
jps.save.global.entities.ms,1743854180697000000,1743854191794000000,2
jps.artifact.entities.serializer.save.entities.ms,1743854180697000000,1743854191794000000,0
jps.reload.project.entities.ms,1743854180697000000,1743854191794000000,0
jps.artifact.entities.serializer.load.entities.ms,1743854180697000000,1743854191794000000,0
workspaceModel.load.cache.from.file.ms,1743854180697000000,1743854191794000000,505
jps.load.initial.state.ms,1743854180697000000,1743854191794000000,7
workspaceModel.moduleBridge.before.changed.ms,1743854180697000000,1743854191794000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1743854180697000000,1743854191794000000,0
workspaceModel.orphan.listener.update.ms,1743854180697000000,1743854191794000000,2
jps.global.handle.changed.events.ms,1743854180697000000,1743854191794000000,0
jps.library.entities.serializer.save.entities.ms,1743854180697000000,1743854191794000000,0
jps.global.handle.before.change.events.ms,1743854180697000000,1743854191794000000,0
jps.apply.loaded.storage.ms,1743854180697000000,1743854191794000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1743854180697000000,1743854191794000000,0
jps.library.entities.serializer.load.entities.ms,1743854180697000000,1743854191794000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1743854180697000000,1743854191794000000,660
jps.facet.change.listener.process.change.events.ms,1743854180697000000,1743854191794000000,0
jps.project.serializers.save.ms,1743854180697000000,1743854191794000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1743854180697000000,1743854191794000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1743854180697000000,1743854191794000000,51
jps.module.iml.entities.serializer.save.entities.ms,1743854180697000000,1743854191794000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1743854180697000000,1743854191794000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1743854180697000000,1743854191794000000,0
workspaceModel.moduleBridge.update.option.ms,1743854180697000000,1743854191794000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1743854180697000000,1743854191794000000,0
workspaceModel.global.apply.state.to.project.ms,1743854180697000000,1743854191794000000,62
workspaceModel.global.updates.count,1743854180697000000,1743854191794000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1743854180697000000,1743854191794000000,0
jps.global.get.library.by.name.ms,1743854180697000000,1743854191794000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1743854180697000000,1743854191794000000,18
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1743854180697000000,1743854191794000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1743854180697000000,1743854191794000000,0
jps.app.storage.content.writer.save.component.ms,1743854180697000000,1743854191794000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1743854180697000000,1743854191794000000,0
jps.facet.change.listener.init.bridge.ms,1743854180697000000,1743854191794000000,0
jps.global.get.library.ms,1743854180697000000,1743854191794000000,0
jps.storage.jps.conf.reader.load.component.ms,1743854180697000000,1743854191794000000,8
jps.app.storage.content.reader.load.component.ms,1743854180697000000,1743854191794000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1743854180697000000,1743854191794000000,10
jps.module.iml.entities.serializer.load.entities.ms,1743854180697000000,1743854191794000000,31
jps.project.serializers.load.ms,1743854180697000000,1743854191794000000,62
FilePageCache.maxCacheSizeInBytes,1743854180697000000,1743854191794000000,233848832
FilePageCacheLockFree.totalBytesRequested,1743854180697000000,1743854191794000000,614400
FilePageCache.pageLoadsAboveSizeThreshold,1743854180697000000,1743854191794000000,0
FilePageCache.totalPageDisposalsUs,1743854180697000000,1743854191794000000,614
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1743854180697000000,1743854191794000000,41992192
DirectByteBufferAllocator.misses,1743854180697000000,1743854191794000000,229
FilePageCache.pageLoads,1743854180697000000,1743854191794000000,228
FileChannelInterruptsRetryer.totalRetriedAttempts,1743854180697000000,1743854191794000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1743854180697000000,1743854191794000000,2
FilePageCacheLockFree.housekeeperTurnsSkipped,1743854180697000000,1743854191794000000,6742
FilePageCacheLockFree.totalBytesWritten,1743854180697000000,1743854191794000000,10042
DirectByteBufferAllocator.hits,1743854180697000000,1743854191794000000,3
StorageLockContext.competingThreads.max,1743854180697000000,1743854191794000000,15
FilePageCacheLockFree.totalHeapBytesReclaimed,1743854180697000000,1743854191794000000,0
DirectByteBufferAllocator.reclaimed,1743854180697000000,1743854191794000000,49
FilePageCache.totalPageLoadsUs,1743854180697000000,1743854191794000000,174999
FilePageCacheLockFree.totalNativeBytesReclaimed,1743854180697000000,1743854191794000000,32768
FilePageCache.uncachedFileAccess,1743854180697000000,1743854191794000000,123
FilePageCacheLockFree.totalPagesAllocated,1743854180697000000,1743854191794000000,4
FilePageCache.disposedBuffers,1743854180697000000,1743854191794000000,228
FilePageCache.pageFastCacheHits,1743854180697000000,1743854191794000000,5093
FilePageCacheLockFree.totalPagesReclaimed,1743854180697000000,1743854191794000000,4
FilePageCache.capacityInBytes,1743854180697000000,1743854191794000000,503316478
FilePageCache.maxRegisteredFiles,1743854180697000000,1743854191794000000,536
FilePageCacheLockFree.totalPagesWritten,1743854180697000000,1743854191794000000,4
StorageLockContext.competingThreads.90P,1743854180697000000,1743854191794000000,0
FilePageCacheLockFree.heapBytesInUse,1743854180697000000,1743854191794000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1743854180697000000,1743854191794000000,32768
FilePageCacheLockFree.totalBytesRead,1743854180697000000,1743854191794000000,15380
FilePageCacheLockFree.housekeeperTurnsDone,1743854180697000000,1743854191794000000,24
FilePageCacheLockFree.totalPagesReadMs,1743854180697000000,1743854191794000000,3
