# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesWritten,1743853961545000000,1743853986185000000,6
FilePageCache.pageFastCacheHits,1743853961545000000,1743853986185000000,5063
FilePageCacheLockFree.totalBytesRead,1743853961545000000,1743853986185000000,12395
DirectByteBufferAllocator.reclaimed,1743853961545000000,1743853986185000000,49
FilePageCacheLockFree.nativeBytesInUse,1743853961545000000,1743853986185000000,0
FilePageCache.maxRegisteredFiles,1743853961545000000,1743853986185000000,536
FilePageCacheLockFree.totalBytesRequested,1743853961545000000,1743853986185000000,589824
FilePageCacheLockFree.totalPagesHandedOver,1743853961545000000,1743853986185000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1743853961545000000,1743853986185000000,41984000
StorageLockContext.competingThreads.90P,1743853961545000000,1743853986185000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1743853961545000000,1743853986185000000,8
FilePageCache.totalPageLoadsUs,1743853961545000000,1743853986185000000,165754
FilePageCache.capacityInBytes,1743853961545000000,1743853986185000000,503316478
FilePageCache.uncachedFileAccess,1743853961545000000,1743853986185000000,129
FilePageCacheLockFree.totalPagesRequested,1743853961545000000,1743853986185000000,72
FilePageCacheLockFree.totalNativeBytesReclaimed,1743853961545000000,1743853986185000000,24576
FilePageCacheLockFree.totalBytesWritten,1743853961545000000,1743853986185000000,12562
FilePageCache.pageLoadsAboveSizeThreshold,1743853961545000000,1743853986185000000,0
FilePageCacheLockFree.totalPagesAllocated,1743853961545000000,1743853986185000000,3
FilePageCacheLockFree.totalHeapBytesAllocated,1743853961545000000,1743853986185000000,0
FilePageCache.pageLoads,1743853961545000000,1743853986185000000,228
StorageLockContext.competingThreads.avg,1743853961545000000,1743853986185000000,0.3191489361702128
FilePageCacheLockFree.totalNativeBytesAllocated,1743853961545000000,1743853986185000000,24576
FilePageCacheLockFree.heapBytesInUse,1743853961545000000,1743853986185000000,0
FilePageCache.totalPageDisposalsUs,1743853961545000000,1743853986185000000,602
FilePageCacheLockFree.totalClosedStoragesReclaimed,1743853961545000000,1743853986185000000,2
StorageLockContext.competingThreads.max,1743853961545000000,1743853986185000000,15
FilePageCacheLockFree.totalPagesWriteMs,1743853961545000000,1743853986185000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1743853961545000000,1743853986185000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1743853961545000000,1743853986185000000,51
FilePageCacheLockFree.housekeeperTurnsSkipped,1743853961545000000,1743853986185000000,15465
FilePageCacheLockFree.totalPageAllocationsWaited,1743853961545000000,1743853986185000000,0
DirectByteBufferAllocator.misses,1743853961545000000,1743853986185000000,227
FilePageCache.pageHits,1743853961545000000,1743853986185000000,14
FilePageCacheLockFree.totalPagesReadMs,1743853961545000000,1743853986185000000,3
FilePageCacheLockFree.housekeeperTimeSpentMs,1743853961545000000,1743853986185000000,122
FilePageCacheLockFree.totalPagesReclaimed,1743853961545000000,1743853986185000000,3
FilePageCache.maxCacheSizeInBytes,1743853961545000000,1743853986185000000,232800256
FilePageCache.disposedBuffers,1743853961545000000,1743853986185000000,228
DirectByteBufferAllocator.disposed,1743853961545000000,1743853986185000000,182
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1743853961545000000,1743853986185000000,41984000
DirectByteBufferAllocator.hits,1743853961545000000,1743853986185000000,4
FilePageCacheLockFree.totalHeapBytesReclaimed,1743853961545000000,1743853986185000000,0
Indexes.stubs.lookupDurationMaxMs,1743853961545000000,1743853986185000000,0.0
Indexes.allKeys.lookupDuration90PMs,1743853961545000000,1743853986185000000,2.0
Indexes.stubs.lookupDuration90PMs,1743853961545000000,1743853986185000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1743853961545000000,1743853986185000000,2.0
Indexes.entries.lookups,1743853961545000000,1743853986185000000,2.0
Indexes.stubs.lookupDurationAvgMs,1743853961545000000,1743853986185000000,0.0
Indexes.entries.lookupDurationAvgMs,1743853961545000000,1743853986185000000,20.0
Indexes.entries.lookupDuration90PMs,1743853961545000000,1743853986185000000,30.0
Indexes.allKeys.lookups,1743853961545000000,1743853986185000000,2.0
Indexes.stubs.lookups,1743853961545000000,1743853986185000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1743853961545000000,1743853986185000000,1.0
Indexes.entries.lookupDurationMaxMs,1743853961545000000,1743853986185000000,30.0
workspaceModel.replace.project.model.ms,1743853961545000000,1743853986185000000,0
workspaceModel.collect.changes.ms,1743853961545000000,1743853986185000000,0
workspaceModel.updates.count,1743853961545000000,1743853986185000000,4
workspaceModel.updates.ms,1743853961545000000,1743853986185000000,70
workspaceModel.to.snapshot.ms,1743853961545000000,1743853986185000000,0
workspaceModel.update.unloaded.entities.ms,1743853961545000000,1743853986185000000,0
workspaceModel.pre.handlers.ms,1743853961545000000,1743853986185000000,0
workspaceModel.initializing.ms,1743853961545000000,1743853986185000000,3
workspaceModel.updates.precise.ms,1743853961545000000,1743853986185000000,30
workspaceModel.loading.total.ms,1743853961545000000,1743853986185000000,516
workspaceModel.check.recursive.update.ms,1743853961545000000,1743853986185000000,2
workspaceModel.loading.from.cache.ms,1743853961545000000,1743853986185000000,472
workspaceModel.init.bridges.ms,1743853961545000000,1743853986185000000,2
jps.global.initialize.library.bridges.ms,1743853961545000000,1743853986185000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1743853961545000000,1743853986185000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1743853961545000000,1743853986185000000,1
workspaceModel.mutableEntityStorage.entities.ms,1743853961545000000,1743853986185000000,0
jps.global.get.libraries.ms,1743853961545000000,1743853986185000000,1
jps.global.get.library.ms,1743853961545000000,1743853986185000000,0
jps.app.storage.content.reader.load.component.ms,1743853961545000000,1743853986185000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1743853961545000000,1743853986185000000,17
jps.load.project.to.empty.storage.ms,1743853961545000000,1743853986185000000,52
jps.project.serializers.load.ms,1743853961545000000,1743853986185000000,45
workspaceModel.mutableEntityStorage.add.diff.ms,1743853961545000000,1743853986185000000,11
jps.global.handle.changed.events.ms,1743853961545000000,1743853986185000000,0
workspaceModel.save.cache.to.file.ms,1743853961545000000,1743853986185000000,69
workspaceModel.moduleManagerBridge.create.module.instance.ms,1743853961545000000,1743853986185000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1743853961545000000,1743853986185000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1743853961545000000,1743853986185000000,0
jps.load.initial.state.ms,1743853961545000000,1743853986185000000,9
workspaceModel.global.apply.state.to.project.ms,1743853961545000000,1743853986185000000,37
workspaceModel.global.updates.ms,1743853961545000000,1743853986185000000,0
workspaceModel.moduleBridge.update.option.ms,1743853961545000000,1743853986185000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1743853961545000000,1743853986185000000,77
jps.facet.change.listener.before.change.events.ms,1743853961545000000,1743853986185000000,1
jps.save.global.entities.ms,1743853961545000000,1743853986185000000,2
jps.library.entities.serializer.load.entities.ms,1743853961545000000,1743853986185000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1743853961545000000,1743853986185000000,0
workspaceModel.load.cache.from.file.ms,1743853961545000000,1743853986185000000,465
jps.facet.change.listener.process.change.events.ms,1743853961545000000,1743853986185000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1743853961545000000,1743853986185000000,35
workspaceModel.mutableEntityStorage.to.snapshot.ms,1743853961545000000,1743853986185000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1743853961545000000,1743853986185000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1743853961545000000,1743853986185000000,0
jps.facet.change.listener.init.bridge.ms,1743853961545000000,1743853986185000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1743853961545000000,1743853986185000000,0
jps.save.changed.project.entities.ms,1743853961545000000,1743853986185000000,6
workspaceModel.mutableEntityStorage.remove.entity.ms,1743853961545000000,1743853986185000000,2
jps.apply.loaded.storage.ms,1743853961545000000,1743853986185000000,77
workspaceModel.global.updates.count,1743853961545000000,1743853986185000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1743853961545000000,1743853986185000000,0
workspaceModel.load.cache.metadata.from.file.ms,1743853961545000000,1743853986185000000,46
workspaceModel.moduleBridgeLoader.loading.modules.ms,1743853961545000000,1743853986185000000,696
workspaceModel.moduleBridge.facet.initialization.ms,1743853961545000000,1743853986185000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1743853961545000000,1743853986185000000,0
jps.storage.jps.conf.reader.load.component.ms,1743853961545000000,1743853986185000000,8
workspaceModel.mutableEntityStorage.modify.entity.ms,1743853961545000000,1743853986185000000,11
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743853961545000000,1743853986185000000,0
jps.global.handle.before.change.events.ms,1743853961545000000,1743853986185000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1743853961545000000,1743853986185000000,8
jps.app.storage.content.writer.save.component.ms,1743853961545000000,1743853986185000000,0
jps.global.initialize.library.bridges.after.loading.ms,1743853961545000000,1743853986185000000,0
jps.library.entities.serializer.save.entities.ms,1743853961545000000,1743853986185000000,0
jps.global.get.library.by.name.ms,1743853961545000000,1743853986185000000,0
workspaceModel.sync.entities.ms,1743853961545000000,1743853986185000000,0
jps.artifact.entities.serializer.load.entities.ms,1743853961545000000,1743853986185000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1743853961545000000,1743853986185000000,132
jps.module.iml.entities.serializer.save.entities.ms,1743853961545000000,1743853986185000000,0
workspaceModel.moduleBridge.before.changed.ms,1743853961545000000,1743853986185000000,0
jps.module.iml.entities.serializer.load.entities.ms,1743853961545000000,1743853986185000000,22
jps.reload.project.entities.ms,1743853961545000000,1743853986185000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1743853961545000000,1743853986185000000,2
workspaceModel.mutableEntityStorage.referrers.ms,1743853961545000000,1743853986185000000,0
jps.project.serializers.save.ms,1743853961545000000,1743853986185000000,6
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743853961545000000,1743853986185000000,0
jps.artifact.entities.serializer.save.entities.ms,1743853961545000000,1743853986185000000,0
workspaceModel.orphan.listener.update.ms,1743853961545000000,1743853986185000000,3
NonBlockingReadAction.finalizedExecutionsCount,1743853961545000000,1743853986185000000,69
NonBlockingReadAction.failedExecutionsCount,1743853961545000000,1743853986185000000,14
NonBlockingReadAction.finalizedExecutionTimeUs,1743853961545000000,1743853986185000000,2589692
AWTEventQueue.dispatchTimeTotalNS,1743853961545000000,1743853986185000000,8930841658
NonBlockingReadAction.failedExecutionTimeUs,1743853961545000000,1743853986185000000,1383028
